Group,Result,icon_index,N_total,Position,Row,Col
Mobile Food (trucks & carts),Fail,17,839,85,8,5
Mobile Food (trucks & carts),Fail,18,839,86,8,6
Mobile Food (trucks & carts),Fail,19,839,87,8,7
Mobile Food (trucks & carts),Fail,20,839,88,8,8
Mobile Food (trucks & carts),Fail,21,839,89,8,9
Mobile Food (trucks & carts),Fail,22,839,90,9,0
Mobile Food (trucks & carts),Fail,23,839,91,9,1
Mobile Food (trucks & carts),Fail,24,839,92,9,2
Mobile Food (trucks & carts),Fail,25,839,93,9,3
Mobile Food (trucks & carts),Fail,26,839,94,9,4
Mobile Food (trucks & carts),Fail,27,839,95,9,5
Mobile Food (trucks & carts),Fail,28,839,96,9,6
Mobile Food (trucks & carts),Fail,29,839,97,9,7
Mobile Food (trucks & carts),Fail,30,839,98,9,8
Mobile Food (trucks & carts),Fail,31,839,99,9,9
"Retail Food (restaurants, grocery, bakery)",Pass,0,29747,0,0,0
"Retail Food (restaurants, grocery, bakery)",Pass,1,29747,1,0,1
"Retail Food (restaurants, grocery, bakery)",Pass,2,29747,2,0,2
"Retail Food (restaurants, grocery, bakery)",Pass,3,29747,3,0,3
"Retail Food (restaurants, grocery, bakery)",Pass,4,29747,4,0,4
"Retail Food (restaurants, grocery, bakery)",Pass,5,29747,5,0,5
"Retail Food (restaurants, grocery, bakery)",Pass,6,29747,6,0,6
"Retail Food (restaurants, grocery, bakery)",Pass,7,29747,7,0,7
"Retail Food (restaurants, grocery, bakery)",Pass,8,29747,8,0,8
"Retail Food (restaurants, grocery, bakery)",Pass,9,29747,9,0,9
"Retail Food (restaurants, grocery, bakery)",Pass,10,29747,10,1,0
"Retail Food (restaurants, grocery, bakery)",Pass,11,29747,11,1,1
"Retail Food (restaurants, grocery, bakery)",Pass,12,29747,12,1,2
"Retail Food (restaurants, grocery, bakery)",Pass,13,29747,13,1,3
"Retail Food (restaurants, grocery, bakery)",Pass,14,29747,14,1,4
"Retail Food (restaurants, grocery, bakery)",Pass,15,29747,15,1,5
"Retail Food (restaurants, grocery, bakery)",Pass,16,29747,16,1,6
"Retail Food (restaurants, grocery, bakery)",Pass,17,29747,17,1,7
"Retail Food (restaurants, grocery, bakery)",Pass,18,29747,18,1,8
"Retail Food (restaurants, grocery, bakery)",Pass,19,29747,19,1,9
"Retail Food (restaurants, grocery, bakery)",Pass,20,29747,20,2,0
"Retail Food (restaurants, grocery, bakery)",Pass,21,29747,21,2,1
"Retail Food (restaurants, grocery, bakery)",Pass,22,29747,22,2,2
"Retail Food (restaurants, grocery, bakery)",Pass,23,29747,23,2,3
"Retail Food (restaurants, grocery, bakery)",Pass,24,29747,24,2,4
"Retail Food (restaurants, grocery, bakery)",Pass,25,29747,25,2,5
"Retail Food (restaurants, grocery, bakery)",Pass,26,29747,26,2,6
"Retail Food (restaurants, grocery, bakery)",Pass,27,29747,27,2,7
"Retail Food (restaurants, grocery, bakery)",Pass,28,29747,28,2,8
"Retail Food (restaurants, grocery, bakery)",Pass,29,29747,29,2,9
"Retail Food (restaurants, grocery, bakery)",Pass,30,29747,30,3,0
"Retail Food (restaurants, grocery, bakery)",Pass,31,29747,31,3,1
"Retail Food (restaurants, grocery, bakery)",Pass,32,29747,32,3,2
"Retail Food (restaurants, grocery, bakery)",Pass,33,29747,33,3,3
"Retail Food (restaurants, grocery, bakery)",Pass,34,29747,34,3,4
"Retail Food (restaurants, grocery, bakery)",Pass,35,29747,35,3,5
"Retail Food (restaurants, grocery, bakery)",Pass,36,29747,36,3,6
"Retail Food (restaurants, grocery, bakery)",Pass,37,29747,37,3,7
"Retail Food (restaurants, grocery, bakery)",Pass,38,29747,38,3,8
"Retail Food (restaurants, grocery, bakery)",Pass,39,29747,39,3,9
"Retail Food (restaurants, grocery, bakery)",Pass,40,29747,40,4,0
"Retail Food (restaurants, grocery, bakery)",Pass,41,29747,41,4,1
"Retail Food (restaurants, grocery, bakery)",Pass,42,29747,42,4,2
"Retail Food (restaurants, grocery, bakery)",Pass,43,29747,43,4,3
"Retail Food (restaurants, grocery, bakery)",Pass,44,29747,44,4,4
"Retail Food (restaurants, grocery, bakery)",Pass,45,29747,45,4,5
"Retail Food (restaurants, grocery, bakery)",Pass,46,29747,46,4,6
"Retail Food (restaurants, grocery, bakery)",Pass,47,29747,47,4,7
"Retail Food (restaurants, grocery, bakery)",Pass,48,29747,48,4,8
"Retail Food (restaurants, grocery, bakery)",Pass,49,29747,49,4,9
"Retail Food (restaurants, grocery, bakery)",Pass,50,29747,50,5,0
"Retail Food (restaurants, grocery, bakery)",Pass,51,29747,51,5,1
"Retail Food (restaurants, grocery, bakery)",Pass,52,29747,52,5,2
"Retail Food (restaurants, grocery, bakery)",Pass,53,29747,53,5,3
"Retail Food (restaurants, grocery, bakery)",Pass w/ Conditions,0,29747,54,5,4
"Retail Food (restaurants, grocery, bakery)",Pass w/ Conditions,1,29747,55,5,5
"Retail Food (restaurants, grocery, bakery)",Pass w/ Conditions,2,29747,56,5,6
"Retail Food (restaurants, grocery, bakery)",Pass w/ Conditions,3,29747,57,5,7
"Retail Food (restaurants, grocery, bakery)",Pass w/ Conditions,4,29747,58,5,8
"Retail Food (restaurants, grocery, bakery)",Pass w/ Conditions,5,29747,59,5,9
"Retail Food (restaurants, grocery, bakery)",Pass w/ Conditions,6,29747,60,6,0
"Retail Food (restaurants, grocery, bakery)",Pass w/ Conditions,7,29747,61,6,1
"Retail Food (restaurants, grocery, bakery)",Pass w/ Conditions,8,29747,62,6,2
"Retail Food (restaurants, grocery, bakery)",Pass w/ Conditions,9,29747,63,6,3
"Retail Food (restaurants, grocery, bakery)",Pass w/ Conditions,10,29747,64,6,4
"Retail Food (restaurants, grocery, bakery)",Pass w/ Conditions,11,29747,65,6,5
"Retail Food (restaurants, grocery, bakery)",Fail,0,29747,66,6,6
"Retail Food (restaurants, grocery, bakery)",Fail,1,29747,67,6,7
"Retail Food (restaurants, grocery, bakery)",Fail,2,29747,68,6,8
"Retail Food (restaurants, grocery, bakery)",Fail,3,29747,69,6,9
"Retail Food (restaurants, grocery, bakery)",Fail,4,29747,70,7,0
"Retail Food (restaurants, grocery, bakery)",Fail,5,29747,71,7,1
"Retail Food (restaurants, grocery, bakery)",Fail,6,29747,72,7,2
"Retail Food (restaurants, grocery, bakery)",Fail,7,29747,73,7,3
"Retail Food (restaurants, grocery, bakery)",Fail,8,29747,74,7,4
"Retail Food (restaurants, grocery, bakery)",Fail,9,29747,75,7,5
"Retail Food (restaurants, grocery, bakery)",Fail,10,29747,76,7,6
"Retail Food (restaurants, grocery, bakery)",Fail,11,29747,77,7,7
"Retail Food (restaurants, grocery, bakery)",Fail,12,29747,78,7,8
"Retail Food (restaurants, grocery, bakery)",Fail,13,29747,79,7,9
"Retail Food (restaurants, grocery, bakery)",Fail,14,29747,80,8,0
"Retail Food (restaurants, grocery, bakery)",Fail,15,29747,81,8,1
"Retail Food (restaurants, grocery, bakery)",Fail,16,29747,82,8,2
"Retail Food (restaurants, grocery, bakery)",Fail,17,29747,83,8,3
"Retail Food (restaurants, grocery, bakery)",Fail,18,29747,84,8,4
"Retail Food (restaurants, grocery, bakery)",Fail,19,29747,85,8,5
"Retail Food (restaurants, grocery, bakery)",Fail,20,29747,86,8,6
"Retail Food (restaurants, grocery, bakery)",Fail,21,29747,87,8,7
"Retail Food (restaurants, grocery, bakery)",Fail,22,29747,88,8,8
"Retail Food (restaurants, grocery, bakery)",Fail,23,29747,89,8,9
"Retail Food (restaurants, grocery, bakery)",Fail,24,29747,90,9,0
"Retail Food (restaurants, grocery, bakery)",Fail,25,29747,91,9,1
"Retail Food (restaurants, grocery, bakery)",Fail,26,29747,92,9,2
"Retail Food (restaurants, grocery, bakery)",Fail,27,29747,93,9,3
"Retail Food (restaurants, grocery, bakery)",Fail,28,29747,94,9,4
"Retail Food (restaurants, grocery, bakery)",Fail,29,29747,95,9,5
"Retail Food (restaurants, grocery, bakery)",Fail,30,29747,96,9,6
"Retail Food (restaurants, grocery, bakery)",Fail,31,29747,97,9,7
"Retail Food (restaurants, grocery, bakery)",Fail,32,29747,98,9,8
"Retail Food (restaurants, grocery, bakery)",Fail,33,29747,99,9,9
Wholesale Food,Pass,0,239,0,0,0
Wholesale Food,Pass,1,239,1,0,1
Wholesale Food,Pass,2,239,2,0,2
Wholesale Food,Pass,3,239,3,0,3
Wholesale Food,Pass,4,239,4,0,4
Wholesale Food,Pass,5,239,5,0,5
Wholesale Food,Pass,6,239,6,0,6
Wholesale Food,Pass,7,239,7,0,7
Wholesale Food,Pass,8,239,8,0,8
Wholesale Food,Pass,9,239,9,0,9
Wholesale Food,Pass,10,239,10,1,0
Wholesale Food,Pass,11,239,11,1,1
Wholesale Food,Pass,12,239,12,1,2
Wholesale Food,Pass,13,239,13,1,3
Wholesale Food,Pass,14,239,14,1,4
Wholesale Food,Pass,15,239,15,1,5
Wholesale Food,Pass,16,239,16,1,6
Wholesale Food,Pass,17,239,17,1,7
Wholesale Food,Pass,18,239,18,1,8
Wholesale Food,Pass,19,239,19,1,9
Wholesale Food,Pass,20,239,20,2,0
Wholesale Food,Pass,21,239,21,2,1
Wholesale Food,Pass,22,239,22,2,2
Wholesale Food,Pass,23,239,23,2,3
Wholesale Food,Pass,24,239,24,2,4
Wholesale Food,Pass,25,239,25,2,5
Wholesale Food,Pass,26,239,26,2,6
Wholesale Food,Pass,27,239,27,2,7
Wholesale Food,Pass,28,239,28,2,8
Wholesale Food,Pass,29,239,29,2,9
Wholesale Food,Pass,30,239,30,3,0
Wholesale Food,Pass,31,239,31,3,1
Wholesale Food,Pass,32,239,32,3,2
Wholesale Food,Pass,33,239,33,3,3
Wholesale Food,Pass,34,239,34,3,4
Wholesale Food,Pass,35,239,35,3,5
Wholesale Food,Pass,36,239,36,3,6
Wholesale Food,Pass,37,239,37,3,7
Wholesale Food,Pass,38,239,38,3,8
