Facility Type,Year,Results,Count,Percentage
Daycare Above and Under 2 Years,2018,Pass,78,34.06
Daycare Above and Under 2 Years,2018,Pass w/ Conditions,121,52.84
Daycare Above and Under 2 Years,2019,Fail,72,26.37
Daycare Above and Under 2 Years,2019,Pass,117,42.86
Daycare Above and Under 2 Years,2019,Pass w/ Conditions,84,30.77
Daycare Above and Under 2 Years,2020,Fail,34,18.58
Daycare Above and Under 2 Years,2020,Pass,125,68.31
Daycare Above and Under 2 Years,2020,Pass w/ Conditions,24,13.11
Daycare Above and Under 2 Years,2021,Fail,47,19.42
Daycare Above and Under 2 Years,2021,Pass,171,70.66
Daycare Above and Under 2 Years,2021,Pass w/ Conditions,24,9.92
Daycare Above and Under 2 Years,2022,Fail,57,25.68
Daycare Above and Under 2 Years,2022,Pass,138,62.16
Daycare Above and Under 2 Years,2022,Pass w/ Conditions,27,12.16
Daycare Above and Under 2 Years,2023,Fail,77,27.4
Daycare Above and Under 2 Years,2023,Pass,180,64.06
Daycare Above and Under 2 Years,2023,Pass w/ Conditions,24,8.54
Daycare Above and Under 2 Years,2024,Fail,61,23.28
Daycare Above and Under 2 Years,2024,Pass,187,71.37
Daycare Above and Under 2 Years,2024,Pass w/ Conditions,14,5.34
Daycare Above and Under 2 Years,2025,Fail,44,17.89
Daycare Above and Under 2 Years,2025,Pass,186,75.61
Daycare Above and Under 2 Years,2025,Pass w/ Conditions,16,6.5
Grocery Store,2010,Fail,800,31.45
Grocery Store,2010,Pass,1581,62.15
Grocery Store,2010,Pass w/ Conditions,163,6.41
Grocery Store,2011,Fail,916,32.63
Grocery Store,2011,Pass,1705,60.74
Grocery Store,2011,Pass w/ Conditions,186,6.63
Grocery Store,2012,Fail,720,28.92
Grocery Store,2012,Pass,1554,62.41
Grocery Store,2012,Pass w/ Conditions,216,8.67
Grocery Store,2013,Fail,622,24.1
Grocery Store,2013,Pass,1707,66.14
Grocery Store,2013,Pass w/ Conditions,252,9.76
Grocery Store,2014,Fail,595,23.22
Grocery Store,2014,Pass,1688,65.89
Grocery Store,2014,Pass w/ Conditions,279,10.89
Grocery Store,2015,Fail,485,21.56
Grocery Store,2015,Pass,1501,66.71
Grocery Store,2015,Pass w/ Conditions,264,11.73
Grocery Store,2016,Fail,565,24.48
Grocery Store,2016,Pass,1461,63.3
Grocery Store,2016,Pass w/ Conditions,282,12.22
Grocery Store,2017,Fail,466,24.26
Grocery Store,2017,Pass,1261,65.64
Grocery Store,2017,Pass w/ Conditions,194,10.1
Grocery Store,2018,Fail,442,29.02
Grocery Store,2018,Pass,571,37.49
Grocery Store,2018,Pass w/ Conditions,510,33.49
Grocery Store,2019,Fail,388,25.64
Grocery Store,2019,Pass,352,23.27
Grocery Store,2019,Pass w/ Conditions,773,51.09
Grocery Store,2020,Fail,588,26.65
Grocery Store,2020,Pass,745,33.77
Grocery Store,2020,Pass w/ Conditions,873,39.57
Grocery Store,2021,Fail,322,24.86
Grocery Store,2021,Pass,606,46.8
Grocery Store,2021,Pass w/ Conditions,367,28.34
Grocery Store,2022,Fail,353,24.84
Grocery Store,2022,Pass,810,57.0
Grocery Store,2022,Pass w/ Conditions,258,18.16
Grocery Store,2023,Fail,409,27.43
Grocery Store,2023,Pass,835,56.0
Grocery Store,2023,Pass w/ Conditions,247,16.57
Grocery Store,2024,Fail,356,23.03
Grocery Store,2024,Pass,937,60.61
Grocery Store,2024,Pass w/ Conditions,253,16.36
Grocery Store,2025,Fail,325,23.26
Grocery Store,2025,Pass,892,63.85
Grocery Store,2025,Pass w/ Conditions,180,12.88
Long Term Care,2010,Fail,33,21.15
Long Term Care,2010,Pass,103,66.03
Long Term Care,2010,Pass w/ Conditions,20,12.82
Long Term Care,2011,Fail,18,21.18
Long Term Care,2011,Pass,61,71.76
Long Term Care,2011,Pass w/ Conditions,6,7.06
Long Term Care,2012,Fail,21,17.07
Long Term Care,2012,Pass,78,63.41
Long Term Care,2012,Pass w/ Conditions,24,19.51
Long Term Care,2013,Fail,10,20.41
Long Term Care,2013,Pass,34,69.39
Long Term Care,2013,Pass w/ Conditions,5,10.2
Long Term Care,2014,Fail,9,24.32
Long Term Care,2014,Pass,27,72.97
Long Term Care,2014,Pass w/ Conditions,1,2.7
Long Term Care,2015,Fail,31,19.14
Long Term Care,2015,Pass,119,73.46
Long Term Care,2015,Pass w/ Conditions,12,7.41
Long Term Care,2016,Fail,42,21.21
Long Term Care,2016,Pass,126,63.64
Long Term Care,2016,Pass w/ Conditions,30,15.15
Long Term Care,2017,Fail,44,25.29
Long Term Care,2017,Pass,114,65.52
Long Term Care,2017,Pass w/ Conditions,16,9.2
Long Term Care,2018,Fail,55,31.43
Long Term Care,2018,Pass,44,25.14
Long Term Care,2018,Pass w/ Conditions,76,43.43
Long Term Care,2019,Fail,47,26.55
Long Term Care,2019,Pass,70,39.55
Long Term Care,2019,Pass w/ Conditions,60,33.9
Long Term Care,2020,Fail,9,20.0
Long Term Care,2020,Pass,25,55.56
Long Term Care,2020,Pass w/ Conditions,11,24.44
Long Term Care,2021,Fail,39,29.1
Long Term Care,2021,Pass,57,42.54
Long Term Care,2021,Pass w/ Conditions,38,28.36
Long Term Care,2022,Fail,53,30.64
Long Term Care,2022,Pass,98,56.65
Long Term Care,2022,Pass w/ Conditions,22,12.72
Long Term Care,2023,Fail,50,28.25
Long Term Care,2023,Pass,109,61.58
Long Term Care,2023,Pass w/ Conditions,18,10.17
Long Term Care,2024,Fail,50,27.03
Long Term Care,2024,Pass,102,55.14
Long Term Care,2024,Pass w/ Conditions,33,17.84
Long Term Care,2025,Fail,39,21.91
Long Term Care,2025,Pass,115,64.61
Long Term Care,2025,Pass w/ Conditions,24,13.48
Restaurant,2010,Fail,2526,23.97
Restaurant,2010,Pass,6916,65.62
Restaurant,2010,Pass w/ Conditions,1098,10.42
Restaurant,2011,Fail,2488,23.01
Restaurant,2011,Pass,7177,66.36
Restaurant,2011,Pass w/ Conditions,1150,10.63
Restaurant,2012,Fail,2159,21.33
Restaurant,2012,Pass,6814,67.31
Restaurant,2012,Pass w/ Conditions,1150,11.36
Restaurant,2013,Fail,2177,18.55
Restaurant,2013,Pass,8206,69.92
Restaurant,2013,Pass w/ Conditions,1353,11.53
Restaurant,2014,Fail,2531,18.95
Restaurant,2014,Pass,8988,67.29
Restaurant,2014,Pass w/ Conditions,1839,13.77
Restaurant,2015,Fail,2479,20.13
Restaurant,2015,Pass,8203,66.59
Restaurant,2015,Pass w/ Conditions,1636,13.28
Restaurant,2016,Fail,2954,20.99
Restaurant,2016,Pass,9036,64.22
Restaurant,2016,Pass w/ Conditions,2081,14.79
Restaurant,2017,Fail,2888,22.03
Restaurant,2017,Pass,8526,65.04
Restaurant,2017,Pass w/ Conditions,1695,12.93
Restaurant,2018,Fail,2125,20.95
Restaurant,2018,Pass,4388,43.27
Restaurant,2018,Pass w/ Conditions,3628,35.78
Restaurant,2019,Fail,2458,21.82
Restaurant,2019,Pass,2811,24.96
Restaurant,2019,Pass w/ Conditions,5995,53.22
Restaurant,2020,Fail,1798,22.38
Restaurant,2020,Pass,3650,45.43
Restaurant,2020,Pass w/ Conditions,2586,32.19
Restaurant,2021,Fail,2076,23.16
